, 42160 692  511   31 ILULISSAT/JAKOBSHAVN GREENLAND     17842013
80,1864 -214 -177 -141 -145    3   37   38   51   22  -16  -70  -90
81,1865 -190 -152 -116 -140   -9    6   70   21  -16  -17  -99 -144
82,1866 -229 -200 -150  -97   -7   25   61   34   -4  -69 -113 -178
83,1867 -108 -216 -156  -97    1   34   83   59   15  -51  -52  -93
84,1868 -150 -304 -224  -96  -19   14   42   46   22  -70  -89 -127
85,1869 -195 -208 -117 -124    7   28   56   38    8  -12 -109 -134
86,1870 -145 -160 -214 -154  -29   29   58   63  -15  -45  -25  -54
87,1871 -169 -128 -239  -82    1   60   66   47   11  -30  -42  -68
88,1872 -121  -88 -110  -55   -1   44   75   67   36  -32  -88  -87
89,1873 -183 -117 -177  -89   16   25   79   49    7  -51  -72 -147
90,1874 -236 -152 -144  -70   33   49   76   61   12  -97  -73  -65
91,1875  -99 -124 -201  -60  -52   15   66   50   21  -13  -49  -85
92,1876 -175 -156 -136 -108  -12   33   59   52   41  -36  -70  -69
93,1877 -159 -170 -119  -65   19   56   67   66   44  -22 -107 -138
94,1878 -153 -167 -131  -69  -12   40   70   65    1  -36  -12  -26
95,1879  -93 -167 -170  -76    2   33   67   62   -8  -45  -68 -140
96,1880 -181 -263 -194  -85    4   37   72   40    9   -8 -116 -130
97,1881  -80 -158 -194  -57   23   32   74   47   10  -12  -73 -153
98,1882 -254 -233 -203  -97    1   46   57   47   16  -58 -106 -127
99,1883 -156 -198  -79  -78    9   37   71   44   33  -59  -85 -194
100,1884 -264 -241 -228  -99  -26   34   64   39  -16  -63 -115 -168
101,1885 -123 -163 -136  -81   10   18   71   59    3  -49 -112 -122
102,1886 -203 -223 -208 -170   -2   33   66   47   24  -42  -90 -132
103,1887 -190 -249 -232 -174  -43   27   69   51   10  -26  -68 -129
104,1888 -133 -161 -165  -83  -13   54   74   72   10  -36  -96 -159
105,1889 -232 -138 -156  -67   -1   30   75   42   22  -32 -109 -149
106,1890 -198 -220 -205 -105    4   38   67   51   -1  -51 -103 -107
107,1891 -168 -286 -183 -139    4   63   54   64    2  -72  -92 -143
108,1892 -164 -145 -166 -102   -1   69   72   56    5    2  -85  -99
109,1893 -129 -182 -147 -112  -27   45   79   67   35  -42  -60 -156
110,1894 -208 -279 -254 -161   -5   11   72   61    9  -34 -116 -159
111,1895 -122  -85 -125 -107  -23   25   68   53   -5  -22  -98 -123
112,1896 -217 -276 -211 -176  -47   36   77   68   27  -15 -102 -140
113,1897 -188 -261 -148 -145  -31   43   74   48   16  -25 -104 -124
114,1898 -212 -296 -175 -139  -12   49   52   44   18  -21 -122 -223
115,1899 -178 -234 -147  -74    7   48   65   60   27  -61 -115 -139
116,1900 -188  -83  -82  -96   17   67   84   67    8  -29 -100 -168
